                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.37498,                0.32878,                0.93557,                0.95943,                      1,                  0.993,                0.94077,                0.37199,                0.30381,                0.92876,              0.0014588,              0.0014588,              0.0014588
                     43,                0.36832,                0.31115,                0.93142,                 0.9155,                      1,                 0.9872,                0.94602,                0.35283,                0.38429,                0.88278,              0.0014456,              0.0014456,              0.0014456
                     44,                0.38102,                0.32006,                0.93054,                0.93332,                      1,                0.97447,                0.90887,                0.38208,                0.47072,                0.96416,              0.0014324,              0.0014324,              0.0014324
                     45,                 0.3868,                0.33361,                0.94018,                0.93157,                      1,                0.98479,                0.93802,                0.37589,                0.38037,                0.92465,              0.0014192,              0.0014192,              0.0014192
                     46,                0.37527,                0.32068,                0.92676,                0.93375,                      1,                 0.9822,                0.93731,                0.32801,                0.33488,                0.87413,               0.001406,               0.001406,               0.001406
                     47,                0.38848,                0.31645,                0.93419,                0.93092,                      1,                0.98341,                0.92201,                0.38834,                0.35749,                0.93261,              0.0013928,              0.0013928,              0.0013928
                     48,                0.38121,                0.31296,                0.93261,                0.93174,                      1,                0.97863,                0.93507,                0.36273,                0.35497,                0.93225,              0.0013796,              0.0013796,              0.0013796
                     49,                0.36481,                 0.3111,                0.91122,                0.96655,                0.99664,                  0.994,                0.97128,                 0.2993,                0.30774,                0.83394,              0.0013664,              0.0013664,              0.0013664
                     50,                0.36487,                0.30325,                0.93887,                0.93336,                      1,                0.98744,                0.94744,                0.37023,                0.37102,                 0.9222,              0.0013532,              0.0013532,              0.0013532
                     51,                0.37124,                 0.3138,                0.93892,                 0.9665,                  0.995,                0.98267,                0.90402,                0.40464,                0.36197,                 1.0009,                0.00134,                0.00134,                0.00134
                     52,                0.34554,                0.29061,                0.91304,                0.93248,                      1,                0.98077,                0.92949,                0.34617,                 0.3421,                 0.8722,              0.0013268,              0.0013268,              0.0013268
                     53,                0.34873,                0.29558,                0.91314,                0.93374,                      1,                0.98962,                0.93123,                0.33345,                0.31536,                0.87334,              0.0013136,              0.0013136,              0.0013136
                     54,                0.35817,                 0.3084,                0.92154,                0.92436,                0.96552,                0.97272,                0.90968,                0.41171,                0.48159,                0.93076,              0.0013004,              0.0013004,              0.0013004
                     55,                0.36115,                0.30701,                0.93048,                0.96352,                0.96552,                0.99306,                0.90662,                0.38198,                0.37964,                0.96984,              0.0012872,              0.0012872,              0.0012872
                     56,                0.34516,                0.30133,                0.91932,                0.93373,                      1,                 0.9897,                0.95362,                0.32718,                0.35576,                0.90321,               0.001274,               0.001274,               0.001274
                     57,                0.34982,                0.29751,                0.92679,                0.93336,                      1,                0.96985,                0.93795,                0.33735,                0.34856,                0.92166,              0.0012608,              0.0012608,              0.0012608
                     58,                0.35188,                0.29235,                 0.9234,                0.90331,                0.96651,                0.98285,                0.93011,                0.36173,                0.41778,                0.94334,              0.0012476,              0.0012476,              0.0012476
                     59,                0.35705,                0.29739,                0.92898,                0.93312,                      1,                0.98033,                0.92838,                0.37361,                0.37811,                0.91692,              0.0012344,              0.0012344,              0.0012344
                     60,                 0.3526,                0.30461,                0.91987,                0.90393,                      1,                0.96221,                 0.9267,                0.34175,                0.39353,                0.85367,              0.0012212,              0.0012212,              0.0012212
                     61,                0.34434,                0.29846,                0.90968,                0.90173,                0.96552,                 0.9804,                 0.9288,                0.32096,                0.40595,                0.84503,               0.001208,               0.001208,               0.001208
                     62,                0.33619,                0.29465,                0.91526,                0.93078,                      1,                 0.9872,                 0.9182,                0.35119,                0.33987,                0.92687,              0.0011948,              0.0011948,              0.0011948
                     63,                0.33691,                0.29783,                 0.9193,                0.95274,                      1,                  0.995,                0.96213,                 0.3072,                0.32542,                0.83921,              0.0011816,              0.0011816,              0.0011816
                     64,                  0.324,                0.27701,                0.90521,                0.96606,                0.98187,                  0.994,                0.96698,                0.27074,                0.28528,                0.81998,              0.0011684,              0.0011684,              0.0011684
                     65,                0.33268,                  0.282,                0.91482,                0.89842,                0.91521,                  0.953,                0.87107,                0.37442,                0.42528,                0.92962,              0.0011552,              0.0011552,              0.0011552
                     66,                 0.3334,                0.28824,                0.91213,                0.90585,                0.99544,                0.98376,                0.95699,                0.29829,                0.33527,                0.85056,               0.001142,               0.001142,               0.001142
                     67,                0.32388,                0.27053,                0.90754,                0.93491,                      1,                  0.986,                0.95051,                0.30507,                0.33931,                0.87831,              0.0011288,              0.0011288,              0.0011288
                     68,                0.31941,                0.26458,                0.90106,                0.93488,                      1,                  0.995,                0.92316,                0.31856,                0.33869,                0.90013,              0.0011156,              0.0011156,              0.0011156
                     69,                0.34458,                0.28191,                0.92076,                0.90588,                0.99579,                0.99219,                0.94732,                0.28878,                0.35456,                0.85172,              0.0011024,              0.0011024,              0.0011024
